X,Y,OBJECTID,DD_MM_YYY,TIME,LOCATION,DEPTH,MAG,EVALMODE,TYPE,MAG_100,GM_CODE,GM_NAAM,WATER,OAD,STED,BEV_DICHTH
783355.257086860015988,6952166.985234649851918,128,28-1-1998 0:00:00,8:52,Roswinkel,2,2.000000000000000,manual,ind,200,GM0114,Emmen,NEE,846,4,321
745617.949671759968624,7055839.054472950287163,129,12-12-1998 0:00:00,12:28,Zandeweer,3,2.000000000000000,manual,ind,200,GM1651,Eemsmond,NEE,359,5,83
752853.716580279986374,7047629.722385300323367,130,11-6-2000 0:00:00,3:07,Zeerijp,3,2.000000000000000,manual,ind,200,GM0024,Loppersum,NEE,208,5,89
733372.805672,6973754.624452349729836,131,2-2-2003 0:00:00,16:33,Ekehaar,3,2.000000000000000,manual,ind,200,GM1680,Aa en Hunze,NEE,279,5,92
758085.732652610051446,7046510.924627250060439,132,10-3-2005 0:00:00,18:43,Oosterwijtwerd,3,2.000000000000000,manual,ind,200,GM0024,Loppersum,NEE,208,5,89
746063.227635300019756,7044460.204199399799109,133,14-5-2007 0:00:00,0:28,Westeremden,3,2.000000000000000,manual,ind,200,GM0024,Loppersum,NEE,208,5,89
751183.924216749961488,7044833.023121450096369,134,27-10-2007 0:00:00,10:48,Loppersum,3,2.000000000000000,manual,ind,200,GM0024,Loppersum,NEE,208,5,89
768995.042760450043716,6938911.172145560383797,135,5-8-2008 0:00:00,3:21,Emmen,3,2.000000000000000,manual,ind,200,GM0114,Emmen,NEE,846,4,321
754189.550470939953811,7016734.207390120252967,136,9-6-2010 0:00:00,11:02,Froombosch,3,2.000000000000000,manual,ind,200,GM0040,Slochteren,NEE,221,5,110
757529.135197969968431,7014134.035074760206044,137,28-3-2011 0:00:00,15:36,Sappemeer,3,2.000000000000000,manual,ind,200,GM0018,Hoogezand-Sappemeer,NEE,1249,3,515
748957.53439875994809,7050427.405829139985144,138,25-9-2011 0:00:00,6:43,Zeerijp,3,2.000000000000000,manual,ind,200,GM0024,Loppersum,NEE,208,5,89
758976.288579690037295,7015991.214426469989121,139,25-4-2012 0:00:00,13:12,Sappemeer,3,2.000000000000000,manual,ind,200,GM0018,Hoogezand-Sappemeer,NEE,1249,3,515
755080.106398249976337,7038124.955053839832544,140,11-2-2013 0:00:00,3:36,Garrelsweer,3,2.000000000000000,manual,ind,200,GM0024,Loppersum,NEE,208,5,89
756415.94028908002656,7042223.657643609680235,141,15-2-2013 0:00:00,12:43,Wirdum,3,2.000000000000000,manual,ind,200,GM0024,Loppersum,NEE,208,5,89
756081.98181648994796,7071160.937942960299551,142,16-3-2013 0:00:00,18:14,Waddenzee (nabij Eemshaven),3,2.000000000000000,manual,ind,200,GM1651,Eemsmond,JA,-99999999,-99999999,-99999999
761981.914834139985032,7043714.618787210434675,143,26-11-2013 0:00:00,2:09,Appingedam,3,2.000000000000000,manual,ind,200,GM0003,Appingedam,NEE,1045,3,503
731146.415853979997337,6975602.428488709963858,144,5-2-2014 0:00:00,20:52,Assen,3,2.000000000000000,manual,ind,200,GM0106,Assen,NEE,1538,2,825
760868.719925130018964,7043341.852294719778001,145,9-8-2014 0:00:00,21:50,Appingedam,3,2.000000000000000,manual,ind,200,GM0003,Appingedam,NEE,1045,3,503
734931.278544620028697,6971353.117756390012801,146,11-11-2014 0:00:00,1:12,Amen,3,2.000000000000000,manual,ind,200,GM1680,Aa en Hunze,NEE,279,5,92
742278.364944739965722,7058079.435871089808643,147,27-5-2015 0:00:00,0:00,Uithuizen,3,2.000000000000000,manual,ind,200,GM1651,Eemsmond,NEE,359,5,83
751851.841162009979598,7017291.497586569748819,148,18-8-2015 0:00:00,14:09,Kolham,3,2.000000000000000,manual,ind,200,GM0040,Slochteren,NEE,221,5,110
747287.742035079980269,7021937.099315639585257,149,26-4-2017 0:00:00,6:57,Scharmer,3,2.000000000000000,manual,ind,200,GM0040,Slochteren,NEE,221,5,110
724133.287927399971522,7002814.60232394002378,150,28-12-1996 0:00:00,13:40,Bunne,3,1.900000000000000,manual,ind,190,GM1730,Tynaarlo,NEE,503,4,232
751629.202180110034533,7000404.340051350183785,151,21-6-1997 0:00:00,1:55,Zuidlaarderveen,4,1.900000000000000,manual,ind,190,GM1730,Tynaarlo,NEE,503,4,232
765321.499560649972409,6935416.76573657989502,152,5-9-1998 0:00:00,5:45,Emmen,3,1.900000000000000,manual,ind,190,GM0114,Emmen,NEE,846,4,321
746953.783562559983693,7053599.304612849839032,153,16-5-2000 0:00:00,17:31,Eppenhuizen,3,1.900000000000000,manual,ind,190,GM1651,Eemsmond,NEE,359,5,83
747844.339489719946869,7046138.027025479823351,154,2-4-2003 0:00:00,17:45,Westeremden,3,1.900000000000000,manual,ind,190,GM0024,Loppersum,NEE,208,5,89
751740.52167120995,7036635.041190380230546,155,24-11-2004 0:00:00,22:48,Ten Post,3,1.900000000000000,manual,ind,190,GM0009,Ten Boer,NEE,371,5,161
743057.601381,7050987.060697699896991,156,23-10-2005 0:00:00,1:55,Middelstum,3,1.900000000000000,manual,ind,190,GM0024,Loppersum,NEE,208,5,89
745506.630180689971894,7026957.39470278006047,157,23-1-2006 0:00:00,23:02,Lageland,3,1.900000000000000,manual,ind,190,GM0014,Groningen,NEE,3448,1,2125
755080.106398269999772,7040546.660390390083194,158,16-4-2006 0:00:00,12:00,Wirdum,3,1.900000000000000,manual,ind,190,GM0024,Loppersum,NEE,208,5,89
733818.083635609946214,6973015.622454030439258,159,2-4-2008 0:00:00,16:48,Ekehaar,3,1.900000000000000,manual,ind,190,GM1680,Aa en Hunze,NEE,279,5,92
750293.368289530044422,7043341.852295599877834,160,19-5-2008 0:00:00,13:12,Loppersum,3,1.900000000000000,manual,ind,190,GM0024,Loppersum,NEE,208,5,89
747287.742035220027901,7046324.47364068031311,161,9-1-2009 0:00:00,10:33,Westeremden,3,1.900000000000000,manual,ind,190,GM0024,Loppersum,NEE,208,5,89
761981.914834080031142,7029003.608082289807498,162,18-5-2011 0:00:00,20:09,Hellum,3,1.900000000000000,manual,ind,190,GM0040,Slochteren,NEE,221,5,110
754189.550471129943617,7058639.629950660280883,163,26-5-2011 0:00:00,3:07,Zijldijk,3,1.900000000000000,manual,ind,190,GM0024,Loppersum,NEE,208,5,89
763874.346179410000332,7031422.538580060005188,164,8-10-2011 0:00:00,14:52,Siddeburen,3,1.900000000000000,manual,ind,190,GM0040,Slochteren,NEE,221,5,110
742167.045453789993189,7049681.260630570352077,165,6-1-2012 0:00:00,2:09,Middelstum,3,1.900000000000000,manual,ind,190,GM0024,Loppersum,NEE,208,5,89
744950.032726260018535,7039987.739871590398252,166,16-2-2012 0:00:00,4:33,Stedum,3,1.900000000000000,manual,ind,190,GM0024,Loppersum,NEE,208,5,89
776230.809669420006685,7032353.092245279811323,167,18-2-2013 0:00:00,5:16,Wagenborgen,3,1.900000000000000,manual,ind,190,GM0010,Delfzijl,NEE,680,4,188
754189.550471069989726,7042969.103275129571557,168,20-7-2013 0:00:00,7:55,Wirdum,3,1.900000000000000,manual,ind,190,GM0024,Loppersum,NEE,208,5,89
748846.214907870045863,7054159.182895850390196,169,28-9-2013 0:00:00,21:07,Startenhuizen,3,1.900000000000000,manual,ind,190,GM1651,Eemsmond,NEE,359,5,83
756081.981816380051896,7041850.961028260178864,170,2-10-2013 0:00:00,20:52,Wirdum,3,1.900000000000000,manual,ind,190,GM0024,Loppersum,NEE,208,5,89
765098.860579350031912,7039801.441757209599018,171,15-3-2014 0:00:00,3:21,Appingedam,3,1.900000000000000,manual,ind,190,GM0003,Appingedam,NEE,1045,3,503
751629.202180169988424,7009492.979328829795122,172,12-2-2015 0:00:00,23:02,Hoogezand,3,1.900000000000000,manual,ind,190,GM0018,Hoogezand-Sappemeer,NEE,1249,3,515
768438.445305929984897,6938543.26811558008194,173,5-4-2015 0:00:00,15:50,Emmen,3,1.900000000000000,manual,ind,190,GM0114,Emmen,NEE,846,4,321
751406.563198560033925,7046138.02702519018203,174,6-6-2015 0:00:00,19:12,Zeerijp,3,1.900000000000000,manual,ind,190,GM0024,Loppersum,NEE,208,5,89
757751.774179880041629,7038870.016636219806969,175,1-11-2016 0:00:00,14:24,Wirdum,3,1.900000000000000,manual,ind,190,GM0024,Loppersum,NEE,208,5,89
773113.863924209959805,7040360.34918512031436,176,15-5-1995 0:00:00,8:24,Meedhuizen,3,1.800000000000000,manual,ind,180,GM0010,Delfzijl,NEE,680,4,188
748289.617453449987806,7070412.842634839937091,177,4-11-1995 0:00:00,5:02,Uithuizermeeden,3,1.800000000000000,manual,ind,180,GM1651,Eemsmond,JA,-99999999,-99999999,-99999999
768995.042760450043716,6938911.172145560383797,178,24-2-1996 0:00:00,13:26,Emmen,3,1.800000000000000,manual,ind,180,GM0114,Emmen,NEE,846,4,321
785247.688432189985178,6952166.985234470106661,179,21-3-1996 0:00:00,11:31,Roswinkel,2,1.800000000000000,manual,ind,180,GM0114,Emmen,NEE,846,4,321
723799.329454699996859,7003556.368052129633725,180,28-12-1996 0:00:00,21:36,Bunne,3,1.800000000000000,manual,ind,180,GM1730,Tynaarlo,NEE,503,4,232
751740.521671280032024,7050613.9530731998384,181,19-6-1997 0:00:00,13:26,Zeerijp,3,1.800000000000000,manual,ind,180,GM0024,Loppersum,NEE,208,5,89
785359.007923090015538,6951798.471701670438051,182,20-6-1997 0:00:00,16:48,Roswinkel,2,1.800000000000000,manual,ind,180,GM0114,Emmen,NEE,846,4,321
767770.528360959957354,7034773.04112755972892,183,3-12-1997 0:00:00,17:02,Tjuchem,3,1.800000000000000,manual,ind,180,GM0040,Slochteren,NEE,221,5,110
